data.name,model,model.N,model.epsilon_theta,model.d_h,model.T_h,model.T_p,model.sample_strategy,model.sample_steps,model.beta_end,n_samples,epoch,best_epoch,start_epoch,val_subset,rng_restore,seed,batch_size,lr,wd,early_stop,is_test,log_time,mae,rmse,mape,crps,mis,time,model_path,log_path,forecast_path
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,135,20,0,0,2022,8,0.002,1e-05,10,False,3:3:59,26.737926,37.09928,18.209482,0.09456628874728554,441.3704,1003.1337427385151,output/model/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se20_e300_s2022_f62798.dm4stg,/root/projects/DiffSTG/output/log/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se20_e300_s2022_f62798.testonly.log,/root/projects/DiffSTG/output/forecast/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se20_e300_s2022_f62798.testonly.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,173,0,512,0,2022,8,0.002,1e-05,10,False,12:15:42,21.671741,31.373798,14.190557,0.0753467647652877,316.8117,1012.2612529471517,/root/projects/DiffSTG/output/model/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2022_6788e0.dm4stg,/root/projects/DiffSTG/output/log/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2022_6788e0.log,/root/projects/DiffSTG/output/forecast/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2022_6788e0.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddpm,200,0.1,8,300,173,0,512,0,2022,8,0.002,1e-05,10,False,16:0:27,17.89875,27.309158,11.317182,0.061096643146715666,215.38629,9591.524827450514,/root/projects/DiffSTG/output/model/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2022_6788e0.dm4stg,/root/projects/DiffSTG/output/log/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2022_6788e0.ddpm200.log,/root/projects/DiffSTG/output/forecast/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2022_6788e0.ddpm200.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,150,0,512,0,2023,8,0.002,1e-05,10,False,21:4:6,21.082499,30.863995,13.662033,0.07311598250740453,301.6468,1006.1479291059077,/root/projects/DiffSTG/output/model/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2023_13a8c7.dm4stg,/root/projects/DiffSTG/output/log/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2023_13a8c7.log,/root/projects/DiffSTG/output/forecast/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2023_13a8c7.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,91,0,512,0,2024,8,0.002,1e-05,10,False,2:12:40,21.206242,30.883963,14.748766,0.07362516930228785,309.67825,1009.3026301674545,/root/projects/DiffSTG/output/model/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2024_51bc02.dm4stg,/root/projects/DiffSTG/output/log/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2024_51bc02.log,/root/projects/DiffSTG/output/forecast/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2024_51bc02.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddpm,200,0.1,8,300,150,0,512,0,2023,8,0.002,1e-05,10,False,4:20:32,18.046566,27.510534,11.479263,0.06148541601080643,214.70576,4986.166624769568,output/model/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2023_13a8c7.dm4stg,/root/projects/DiffSTG/output/log/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2023_13a8c7.ddpm200.log,/root/projects/DiffSTG/output/forecast/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2023_13a8c7.ddpm200.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddpm,200,0.1,8,300,91,0,512,0,2024,8,0.002,1e-05,10,False,13:33:10,17.820383,27.203281,11.667066,0.06068818820150275,215.2599,5031.874668583274,output/model/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2024_51bc02.dm4stg,/root/projects/DiffSTG/output/log/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2024_51bc02.ddpm200.log,/root/projects/DiffSTG/output/forecast/PEMS08_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2024_51bc02.ddpm200.pkl
PEMS04,UGnet,200,UGnet,32,12,12,ddpm,200,0.1,8,300,215,0,512,0,2022,8,0.002,1e-05,10,False,11:30:6,22.89415,35.271255,16.158966,0.08214535838679264,253.49034,9745.61595300585,/root/projects/DiffSTG/output/model/PEMS04_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2022_3cf0e0.dm4stg,/root/projects/DiffSTG/output/log/PEMS04_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2022_3cf0e0.log,/root/projects/DiffSTG/output/forecast/PEMS04_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2022_3cf0e0.pkl
PEMS04,UGnet,200,UGnet,32,12,12,ddpm,200,0.1,8,300,179,0,512,0,2023,8,0.002,1e-05,10,False,4:13:37,22.782028,35.13765,15.818813,0.08167830893867895,254.35768,9744.312089197338,/root/projects/DiffSTG/output/model/PEMS04_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2023_1ba297.dm4stg,/root/projects/DiffSTG/output/log/PEMS04_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2023_1ba297.log,/root/projects/DiffSTG/output/forecast/PEMS04_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2023_1ba297.pkl
PEMS04,UGnet,200,UGnet,32,12,12,ddpm,200,0.1,8,300,96,0,512,0,2024,8,0.002,1e-05,10,False,14:47:47,22.544613,34.95846,15.69462,0.08102269549118846,249.92854,9565.255587361753,/root/projects/DiffSTG/output/model/PEMS04_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2024_bd22b0.dm4stg,/root/projects/DiffSTG/output/log/PEMS04_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2024_bd22b0.log,/root/projects/DiffSTG/output/forecast/PEMS04_UGnet_N200_ss200_h32_bs8_lr0.002_se0_e300_s2024_bd22b0.pkl
